home_elo,away_elo,elo_diff,home_form,away_form,form_diff,neutral,is_wc,home_total_goals,away_total_goals,home_total_xg,away_total_xg,home_total_shots,away_total_shots,home_top_scorer_goals,away_top_scorer_goals,home_total_yellow_cards,away_total_yellow_cards
1000.0,1015.0,-15.0,0.5,1.0,-0.5,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1027.994269822597,1014.9976958029735,12.996574019623608,1.0,0.6666666666666666,0.33333333333333337,0,0,13.0,1.0,8.735856199,3.192257232,63.0,35.0,3.0,1.0,1.0,5.0
999.9306649234074,948.6159755548051,51.31468936860233,0.5,0.25,0.25,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
971.1836337744913,1026.3612190771814,-55.17758530269009,0.0,0.7,-0.7,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1031.186860012513,997.6776030648133,33.50925694769978,1.0,0.5,0.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1026.8340238589562,999.3528000084657,27.48122385049055,0.75,0.5,0.25,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000.0,985.0,15.0,0.5,0.0,0.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
985.6193079298398,1012.5756073361612,-26.956299406321364,0.0,0.6,-0.6,0,0,0.0,2.0,0.0,3.2705338566,0.0,33.0,0.0,2.0,0.0,3.0
1013.1164899814928,999.3528000084657,13.763689973027113,0.6666666666666666,0.5,0.16666666666666663,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
982.7312014996082,1006.0767941106374,-23.345592611029133,0.3333333333333333,0.5714285714285714,-0.23809523809523808,0,0,0.0,3.0,0.0,4.663221082,0.0,31.0,0.0,2.0,0.0,7.0
999.4084847421591,1001.209673701761,-1.801188959601859,0.5,0.5,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
985.0,1000.0,-15.0,0.0,0.5,-0.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1031.1551635221322,1030.054582068277,1.1005814538550567,0.75,1.0,-0.25,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
